N Time
2 0.226351326
4 0.205672894
8 0.271139975
16 0.279384921
32 0.307491662
64 0.496894747
128 1.929489059
256 5.113633577
512 14.888125841
1024 64.454403676
2048 239.288038231
4096 891.864707803
8192 3704.929812028
