2 0.260890885 0.264750514 0.260142135 0.266846525 0.262579469
4 0.262325562 0.26260586 0.260850811 0.262306909 0.264929422
8 0.261339956 0.261296971 0.261021518 0.262287793 0.261372873
16 0.261111282 0.260757507 0.264834736 0.263421806 0.282260584
32 0.26096492 0.263467487 0.262608107 0.268528842 0.264831641
64 0.266337177 0.267465382 0.265485563 0.271087664 0.268645607
128 0.291585972 0.291327473 0.28897063 0.292954982 0.290744818
256 0.322342739 0.323695104 0.322767431 0.326784467 0.326804593
512 0.532741441 0.531581506 0.53123267 0.533205813 0.534396396
1024 11.146442118 1.14864756 1.148612436 1.148097064 1.150599692
2048 3.059226994 3.056194689 3.060872276 3.062653748 3.060513462
4096 10.386362077 10.384745897 10.393471183 10.380505074 10.386006588
8192 38.479967873 38.479479866 38.476182857 38.465192529 38.507578278
16384 151.931920855 151.967590867 151.920974541 151.938184571 151.926206761
32768
